"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","0.0","16.7","32.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 2","0.0","18.0","29.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 3","0.0","17.5","29.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 4","15.0","18.8","27.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Sab 5","19.0","18.1","26.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 6","0.0","15.5","25.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 7","0.0","13.9","25.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 8","0.0","13.9","25.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 9","0.0","13.6","24.2","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Gio 10","0.0","11.8","25.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 11","8.0","12.8","25.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Sab 12","0.0","11.5","27.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 13","3.0","13.2","26.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 14","14.0","18.3","24.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mar 15","0.0","19.0","28.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mer 16","0.0","21.4","29.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 17","0.0","19.6","31.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 18","0.0","18.9","30.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 19","0.0","17.6","29.4","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Dom 20","3.0","15.6","24.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 21","0.0","14.5","26.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 22","0.0","11.6","25.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 23","27.0","12.3","23.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 24","4.0","9.0","21.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 25","0.0","9.6","21.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 26","0.0","11.7","24.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 27","2.0","12.8","23.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 28","3.0","14.6","22.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 29","0.0","13.0","22.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 30","3.0","10.6","21.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
